theta_start,miss_rate,false_alarm_rate
3.271779503499655,1.0,1.0
3.2917293785209942,1.0,1.0
3.3116792535423336,1.0,1.0
3.331629128563673,1.0,1.0
3.3515790035850124,1.0,1.0
3.3715288786063518,1.0,1.0
3.391478753627691,1.0,1.0
3.4114286286490305,1.0,1.0
3.43137850367037,1.0,1.0
3.4513283786917093,1.0,1.0
3.4712782537130487,1.0,1.0
3.491228128734388,1.0,1.0
3.5111780037557274,1.0,1.0
3.531127878777067,1.0,1.0
3.551077753798406,1.0,1.0
3.5710276288197456,1.0,1.0
3.590977503841085,1.0,1.0
3.6109273788624243,1.0,1.0
3.6308772538837633,1.0,1.0
3.6508271289051026,1.0,1.0
3.670777003926442,1.0,1.0
3.6907268789477814,1.0,1.0
3.710676753969121,1.0,1.0
3.73062662899046,1.0,1.0
3.7505765040117995,1.0,1.0
3.770526379033139,1.0,1.0
3.7904762540544783,1.0,1.0
3.8104261290758177,1.0,1.0
3.830376004097157,1.0,1.0
3.8503258791184964,1.0,1.0
3.870275754139836,1.0,1.0
3.890225629161175,1.0,1.0
3.9101755041825146,1.0,1.0
3.930125379203854,1.0,1.0
3.9500752542251933,1.0,1.0
3.9700251292465327,1.0,1.0
3.989975004267872,1.0,1.0
4.009924879289211,1.0,1.0
4.02987475431055,1.0,1.0
4.04982462933189,1.0,1.0
4.069774504353229,1.0,1.0
4.089724379374569,1.0,1.0
4.109674254395908,1.0,1.0
4.129624129417247,1.0,1.0
4.149574004438587,1.0,1.0
4.169523879459926,1.0,1.0
4.1894737544812655,1.0,1.0
4.209423629502605,1.0,1.0
4.229373504523944,1.0,1.0
4.249323379545284,1.0,1.0
4.269273254566623,1.0,1.0
4.289223129587962,1.0,1.0
4.309173004609302,1.0,1.0
4.329122879630641,1.0,1.0
4.3490727546519805,1.0,1.0
4.36902262967332,1.0,1.0
4.388972504694659,1.0,1.0
4.408922379715999,1.0,1.0
4.428872254737338,1.0,1.0
4.448822129758677,1.0,1.0
4.468772004780017,1.0,1.0
4.488721879801356,1.0,1.0
4.5086717548226956,1.0,1.0
4.528621629844035,1.0,1.0
4.548571504865374,1.0,1.0
4.568521379886714,1.0,1.0
4.588471254908053,1.0,1.0
4.6084211299293925,1.0,1.0
4.628371004950732,1.0,1.0
4.648320879972071,1.0,1.0
4.668270754993411,1.0,1.0
4.688220630014749,1.0,1.0
4.7081705050360885,1.0,1.0
4.728120380057428,1.0,1.0
4.748070255078767,1.0,1.0
4.768020130100107,1.0,1.0
4.787970005121446,1.0,1.0
4.807919880142785,1.0,1.0
4.827869755164125,1.0,1.0
4.847819630185464,1.0,1.0
4.8677695052068035,1.0,1.0
4.887719380228143,1.0,1.0
4.907669255249482,1.0,1.0
4.927619130270822,1.0,1.0
4.947569005292161,1.0,1.0
4.9675188803135,1.0,1.0
4.98746875533484,1.0,1.0
5.007418630356179,1.0,1.0
5.027368505377519,1.0,1.0
5.047318380398858,1.0,1.0
5.067268255420197,1.0,1.0
5.087218130441537,1.0,1.0
5.107168005462876,1.0,1.0
5.1271178804842155,1.0,1.0
5.147067755505555,1.0,1.0
5.167017630526894,1.0,1.0
5.186967505548234,1.0,1.0
5.206917380569573,1.0,1.0
5.226867255590912,1.0,1.0
5.246817130612252,1.0,1.0
5.266767005633591,1.0,1.0
5.2867168806549305,1.0,1.0
5.30666675567627,1.0,1.0
5.326616630697609,1.0,1.0
5.346566505718949,1.0,1.0
5.366516380740288,1.0,1.0
5.386466255761627,1.0,1.0
5.406416130782967,1.0,1.0
5.426366005804306,1.0,1.0
5.4463158808256456,1.0,1.0
5.466265755846985,1.0,1.0
5.486215630868324,1.0,1.0
5.506165505889664,1.0,1.0
5.526115380911003,1.0,1.0
5.546065255932342,1.0,1.0
5.566015130953681,1.0,1.0
5.58596500597502,1.0,1.0
5.60591488099636,1.0,1.0
5.625864756017699,1.0,1.0
5.6458146310390385,1.0,1.0
5.665764506060378,1.0,1.0
5.685714381081717,1.0,1.0
5.705664256103057,1.0,1.0
5.725614131124396,1.0,1.0
5.745564006145735,1.0,1.0
5.765513881167075,1.0,1.0
5.785463756188414,1.0,1.0
5.8054136312097535,1.0,1.0
5.825363506231093,1.0,1.0
5.845313381252432,1.0,1.0
5.865263256273772,1.0,1.0
5.885213131295111,1.0,1.0
5.90516300631645,1.0,1.0
5.92511288133779,1.0,1.0
5.945062756359129,1.0,1.0
5.9650126313804686,1.0,1.0
5.984962506401808,1.0,1.0
6.004912381423147,1.0,1.0
6.024862256444487,1.0,1.0
6.044812131465826,1.0,1.0
6.0647620064871655,1.0,1.0
6.084711881508505,1.0,1.0
6.104661756529844,1.0,1.0
6.124611631551184,1.0,1.0
6.144561506572523,1.0,1.0
6.164511381593862,1.0,1.0
6.184461256615202,1.0,1.0
6.204411131636541,1.0,1.0
6.2243610066578805,1.0,1.0
6.24431088167922,1.0,1.0
6.264260756700559,1.0,1.0
6.284210631721899,1.0,1.0
6.304160506743238,1.0,1.0
6.324110381764577,1.0,1.0
